College_id,College_name,Type,Exam_type,NIRF_ranking,City,State,Airport_Nearby,Room
1,IIT Madras,IIT,JEE Advanced,1,Chennai,Tamil Nadu,Yes,Single
2,IIT Delhi,IIT,JEE Advanced,2,New Delhi,Delhi,Yes,Single
3,IIT Bombay,IIT,JEE Advanced,3,Mumbai,Maharashtra,Yes,Single
4,IIT Kanpur,IIT,JEE Advanced,4,Kanpur,Uttar Pradesh,Yes,Double
5,IIT Kharagpur,IIT,JEE Advanced,5,Kharagpur,West Bengal,No,Double
6,IIT Roorkee,IIT,JEE Advanced,6,Roorkee,Uttarakhand,No,Double
7,IIT Guwahati,IIT,JEE Advanced,7,Guwahati,Assam,Yes,Double
8,IIT Hyderabad,IIT,JEE Advanced,8,Hyderabad,Telangana,Yes,Double
9,IIT (BHU) Varanasi,IIT,JEE Advanced,10,Varanasi,Uttar Pradesh,Yes,Single
10,IIT (ISM) Dhanbad,IIT,JEE Advanced,14,Dhanbad,Jharkhand,No,Double
11,IIT Bhubaneswar,IIT,JEE Advanced,16,Bhubaneswar,Odisha,Yes,Double
12,IIT Gandhinagar,IIT,JEE Advanced,17,Gandhinagar,Gujarat,Yes,Single
13,IIT Ropar,IIT,JEE Advanced,18,Ropar,Punjab,No,Double
14,IIT Patna,IIT,JEE Advanced,19,Patna,Bihar,Yes,Double
15,IIT Indore,IIT,JEE Advanced,20,Indore,Madhya Pradesh,Yes,Double
16,IIT Mandi,IIT,JEE Advanced,22,Mandi,Himachal Pradesh,No,Double
17,IIT Jodhpur,IIT,JEE Advanced,23,Jodhpur,Rajasthan,Yes,Double
18,IIT Bhilai,IIT,JEE Advanced,26,Bhilai,Chhattisgarh,No,Double
19,IIT Palakkad,IIT,JEE Advanced,28,Palakkad,Kerala,No,Double
20,IIT Tirupati,IIT,JEE Advanced,29,Tirupati,Andhra Pradesh,No,Double
21,IIT Jammu,IIT,JEE Advanced,30,Jammu,Jammu & Kashmir,Yes,Double
22,IIT Goa,IIT,JEE Advanced,31,Goa,Goa,Yes,Double
23,IIT Dharwad,IIT,JEE Advanced,32,Dharwad,Karnataka,Yes,Double
24,"National Institute of Technology, Tiruchirappalli",NIT,JEE Mains,11,Tiruchirappalli,Tamil Nadu,Yes,Double
25,"National Institute of Technology, Karnataka, Surathkal",NIT,JEE Mains,15,Surathkal,Karnataka,Yes,Double
26,"National Institute of Technology, Rourkela",NIT,JEE Mains,12,Rourkela,Odisha,No,Double
27,"National Institute of Technology, Warangal",NIT,JEE Mains,13,Warangal,Telangana,No,Double
28,"National Institute of Technology, Calicut",NIT,JEE Mains,21,Calicut,Kerala,Yes,Double
29,"National Institute of Technology, Durgapur",NIT,JEE Mains,25,Durgapur,West Bengal,No,Double
30,"National Institute of Technology, Silchar",NIT,JEE Mains,33,Silchar,Assam,No,Double
31,"Malaviya National Institute of Technology, Jaipur",NIT,JEE Mains,24,Jaipur,Rajasthan,Yes,Double
32,"National Institute of Technology, Kurukshetra",NIT,JEE Mains,27,Kurukshetra,Haryana,No,Double
33,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",NIT,JEE Mains,34,Jalandhar,Punjab,No,Double
34,"Sardar Vallabhbhai National Institute of Technology, Surat",NIT,JEE Mains,35,Surat,Gujarat,Yes,Double
35,"National Institute of Technology, Hamirpur",NIT,JEE Mains,38,Hamirpur,Himachal Pradesh,No,Double
36,"Visvesvaraya National Institute of Technology, Nagpur",NIT,JEE Mains,40,Nagpur,Maharashtra,Yes,Double
37,"National Institute of Technology, Raipur",NIT,JEE Mains,41,Raipur,Chhattisgarh,Yes,Double
38,"National Institute of Technology, Jamshedpur",NIT,JEE Mains,42,Jamshedpur,Jharkhand,Yes,Double
39,"National Institute of Technology, Patna",NIT,JEE Mains,43,Patna,Bihar,Yes,Double
40,"National Institute of Technology, Srinagar",NIT,JEE Mains,44,Srinagar,Jammu & Kashmir,No,Double
